iter	RMSE
472	9779.201763
473	9754.253533
474	9723.38395
475	9686.631707
476	9663.501106
477	9645.65666
478	9610.329281
479	9576.661003
480	9551.763961
481	9532.792016
482	9516.71424
483	9480.166325
484	9468.493983
485	9434.942349
486	9420.084098
487	9400.420385
488	9384.878851
489	9369.94792
490	9347.001853
491	9335.631244
492	9303.385637
493	9283.728258
494	9259.744993
495	9235.349147
496	9213.51206
497	9200.054902
498	9167.107875
499	9131.989196
500	9102.789507
501	9083.470192
502	9057.037908
503	9032.509059
504	9010.552425
505	8984.197204
506	8965.82104
507	8931.750775
508	8913.879354
509	8906.470969
510	8878.463984
511	8865.314723
512	8852.899467
513	8830.482653
514	8818.128367
515	8799.89821
516	8778.774851
517	8767.273849
518	8751.206737
519	8734.077106
520	8712.061637
521	8688.529538
522	8667.376849
523	8639.220757
524	8618.775601
525	8608.401616
526	8589.386286
527	8578.680018
528	8560.899951
529	8535.786099
530	8521.930007
531	8498.053381
532	8474.180955
533	8455.957631
534	8436.965624
535	8417.558894
536	8398.785175
537	8379.151794
538	8359.529956
539	8341.4973
540	8315.266441
541	8299.307356
542	8287.508749
543	8279.071196
544	8263.980994
545	8249.103721
546	8227.350906
547	8201.550881
548	8183.041482
549	8159.850595
550	8137.107106
551	8119.954848
552	8101.145987
553	8084.442741
554	8064.134284
555	8051.376727
556	8037.972462
557	8025.000276
558	8011.852193
559	8003.105458
560	7989.621908
561	7977.119354
562	7962.558324
563	7948.778352
564	7923.898968
565	7905.095333
566	7886.557664
567	7857.858457
568	7835.98499
569	7817.458976
570	7806.700406
571	7795.63444
572	7771.846166
573	7763.981606
574	7743.698091
575	7731.450751
576	7722.055055
577	7711.632813
578	7705.454489
579	7695.152182
580	7678.578924
581	7667.928635
582	7659.44073
583	7642.414602
584	7618.386221
585	7607.003687
586	7598.938804
587	7591.9526
588	7583.063102
589	7563.020847
590	7556.537574
591	7546.324817
592	7532.36608
593	7514.676239
594	7496.173552
595	7478.366164
596	7467.249325
597	7453.082817
598	7437.281112
599	7413.350993
600	7398.686687
601	7389.86302
602	7380.854111
603	7364.156006
604	7346.932873
605	7331.14932
606	7323.451694
607	7301.179903
608	7287.712818
609	7269.471843
610	7254.371422
611	7238.236676
612	7230.211462
613	7215.24
614	7204.186032
615	7187.87962
616	7172.823105
617	7158.944154
618	7144.169754
619	7138.517112
620	7131.441288
621	7120.698645
622	7114.886793
623	7105.918132
624	7098.037637
625	7087.299807
626	7067.325951
627	7056.419112
628	7043.375045
629	7031.540081
630	7025.354831
631	7017.324745
632	7001.028276
633	6989.444758
634	6978.148877
635	6971.382689
636	6959.353353
637	6945.199477
638	6927.393838
639	6919.905395
640	6906.02842
641	6900.165699
642	6892.032372
643	6879.320585
644	6869.565501
645	6861.402057
646	6849.129635
647	6837.652508
648	6822.033147
649	6811.709491
650	6794.091118
651	6783.018875
652	6777.61384
653	6772.138203
654	6763.687962
655	6754.939624
656	6742.236234
657	6737.068886
658	6731.409968
659	6725.101879
660	6719.839586
661	6712.372417
662	6701.742631
663	6688.599413
664	6675.42041
665	6663.33218
666	6648.182845
667	6633.020747
668	6623.153571
669	6614.009652
670	6608.208022
671	6602.315197
672	6594.524704
673	6586.125642
674	6570.04818
675	6557.924564
676	6545.814476
677	6536.280779
678	6523.734282
679	6511.457291
680	6497.175111
681	6491.818706
682	6487.079317
683	6478.800786
684	6473.863731
685	6462.229463
686	6457.33839
687	6448.940104
688	6436.48103
689	6421.931002
690	6409.592732
691	6404.517994
692	6390.836759
693	6380.882565
694	6371.614788
695	6360.650583
696	6349.583328
697	6343.564628
698	6336.620202
699	6324.006767
700	6313.224671
701	6303.409491
702	6293.908558
703	6284.594313
704	6270.064847
705	6262.691855
706	6254.060104
707	6240.718534
708	6228.765106
709	6224.651496
710	6214.941177
711	6208.632339
712	6204.199722
713	6197.008428
714	6191.676337
715	6179.986106
716	6170.473352
717	6158.211439
718	6145.074351
719	6128.327706
720	6123.611806
721	6114.15634
722	6107.613583
723	6096.482785
724	6090.151977
725	6078.710563
726	6072.35667
727	6059.140807
728	6049.471648
729	6043.775283
730	6033.730372
731	6020.999368
732	6009.746642
733	5998.491258
734	5994.610275
735	5983.020454
736	5970.784762
737	5966.126713
738	5957.834438
739	5952.128428
740	5945.123519
741	5940.330897
742	5930.412658
743	5922.575842
744	5908.400233
745	5894.38198
746	5888.994475
747	5880.474515
748	5871.828955
749	5866.910446
750	5861.978657
751	5852.686296
752	5847.436789
753	5842.409988
754	5835.795445
755	5831.595379
756	5822.880301
757	5817.91894
758	5804.93136
759	5795.031573
760	5788.172183
761	5782.1589
762	5775.183981
763	5766.851814
764	5757.071111
765	5752.808414
766	5746.869653
767	5738.29071
768	5733.397146
769	5729.192006
770	5719.978185
771	5713.407356
772	5704.267449
773	5699.98646
774	5690.317192
775	5684.506768
776	5677.843677
777	5673.028095
778	5664.790774
779	5659.614286
780	5654.634072
781	5651.516622
782	5645.980684
783	5639.269884
784	5634.749751
785	5625.719262
786	5620.616816
787	5613.369413
788	5608.610778
789	5605.00561
790	5600.330416
791	5593.161261
792	5589.115358
793	5579.608676
794	5577.257962
795	5571.34009
796	5567.70173
797	5561.661296
798	5552.034268
799	5549.357747
800	5543.001362
801	5534.894682
802	5524.870062
803	5520.864264
804	5517.196393
805	5508.154435
806	5499.80996
807	5491.970584
808	5487.36942
809	5481.868354
810	5471.215916
811	5459.426779
812	5449.016407
813	5440.746702
814	5436.264547
815	5429.781127
816	5424.176989
817	5418.894414
818	5414.921245
819	5409.812104
820	5402.207181
821	5392.708708
822	5385.268412
823	5378.920504
824	5370.847914
825	5367.728211
826	5362.885245
827	5357.814185
828	5350.019328
829	5340.470399
830	5333.762111
831	5326.977179
832	5319.344011
833	5309.140908
834	5305.336683
835	5302.815502
836	5297.278209
837	5287.038147
838	5281.611475
839	5274.336117
840	5263.874295
841	5256.815167
842	5252.763218
843	5246.216744
844	5242.650732
845	5233.115716
846	5225.674149
847	5217.979975
848	5211.859836
849	5205.835258
850	5199.225526
851	5193.919385
852	5183.840226
853	5178.84229
854	5171.216582
855	5168.207145
856	5163.283671
857	5158.221164
858	5151.664867
859	5146.927769
860	5143.696836
861	5139.154762
862	5134.682368
863	5125.481417
864	5118.525887
865	5112.635099
866	5104.959219
867	5099.09115
868	5096.420305
869	5091.983327
870	5085.490674
871	5079.253863
872	5075.0444
873	5066.835859
874	5058.77732
875	5052.377383
876	5046.540249
877	5041.629879
878	5031.584749
879	5024.323865
880	5017.667207
881	5007.140922
882	5003.152174
883	4996.641998
884	4991.933431
885	4984.5732
886	4976.874654
887	4971.091239
888	4967.595491
889	4964.292081
890	4962.115467
891	4958.944071
892	4955.407437
893	4952.043501
894	4947.643421
895	4941.647317
896	4934.40774
897	4926.516657
898	4918.863261
899	4913.169399
900	4907.886611
901	4904.043228
902	4898.934687
903	4894.831701
904	4888.105514
905	4881.830189
906	4875.264089
907	4873.476769
908	4869.337703
909	4865.973744
910	4859.280548
911	4856.14831
912	4849.337464
913	4842.895009
914	4837.952869
915	4833.347882
916	4830.03199
917	4822.98935
918	4815.900042
919	4812.114574
920	4808.311637
921	4803.456866
922	4798.064902
923	4792.086171
924	4784.916145
925	4781.144478
926	4774.053398
927	4768.23158
928	4764.676052
929	4761.39739
930	4754.583224
931	4747.615041
932	4742.554062
933	4736.360655
934	4733.673933
935	4731.099243
936	4724.81065
937	4718.117047
938	4715.538091
939	4711.399039
940	4708.209205
941	4703.122049
942	4697.897703
943	4691.439737
944	4685.959646
945	4681.190994
946	4674.944246
947	4671.145105
948	4668.614917
949	4664.019116
950	4661.782174
951	4655.645257
952	4650.583986
953	4643.275526
954	4637.559136
955	4629.727451
956	4625.206766
957	4618.395775
958	4616.464246
959	4611.679346
960	4607.654411
961	4602.625145
962	4600.274864
963	4597.782243
964	4594.987487
965	4589.289147
966	4583.84369
967	4580.048332
968	4572.404265
969	4569.166261
970	4561.064166
971	4558.473964
972	4555.435079
973	4550.36445
974	4546.905293
975	4543.650936
976	4537.179516
977	4532.293665
978	4526.500313
979	4523.327329
980	4519.610835
981	4516.807593
982	4510.221657
983	4503.051446
984	4499.995385
985	4493.754451
986	4490.094081
987	4482.720748
988	4478.116336
989	4475.0419
990	4469.785701
991	4467.120582
992	4463.35638
993	4458.065368
994	4453.635052
995	4448.0657
996	4444.567279
997	4442.015944
998	4435.743479
999	4432.306405
